,line,content
400,400,               Argyle knows nothing about tucking a boy in bed; he stands 
401,401,               awkwardly idle as William scrubs his face at the washstand 
402,402,               and crawls into bed.
403,403,                                     WILLIAM
404,404,"                         Good night, Uncle."
405,405,"               Argyle grunts and starts out. Then he stops, turns back, "
406,406,               leans down over William... and with great tenderness the 
407,407,               grizzled old uncle kisses his nephew on his hair.
408,408,               
409,409, THE KITCHEN - NIGHT
410,410,"               Argyle sits by the hearth, staring at the embers. He holds "
411,411,               the huge broadsword that belonged to his brother. He looks 
412,412,"               at the handle, like a cross. He whispers..."
413,413,                                     ARGYLE
414,414,"                         \""The Lord bless thee and keep thee...\"""
415,415,               Tears of grief spill down the old man's cheeks.
416,416,               
417,417, THE HANGING BARN - IN WILLIAM'S DREAM
418,418,"               Once again the boy stands in the doorway of the barn, looking "
419,419,"               at the garish, hanged faces in his nightmare. Then a mangled "
420,420,"               hand comes from behind him and grasps his shoulder, William "
421,421,"               gasps, but the hand holds him gently. He turns to see his "
422,422,"               father, and his brother! They are wounded, bloody, but they "
423,423,"               smile at him; they're alive! Weeping in joy, William reaches "
424,424,"               to hug them, but his father stretches forth a forbidding "
425,425,               hand.
426,426,               William keeps reaching out helplessly. His father and brother 
427,427,               move past him to the hanged knights. Two empty nooses are 
428,428,               there. Before the boy's weeping eyes they put their heads 
429,429,"               into the nooses, and hoist themselves up."
430,430,               William's grief explodes; his tears erupt and
431,431,               HE WAKES IN HIS BEDROOM
432,432,"               tears flooding down his face. A dream! Still upset, still "
433,433,"               grieving, he gets up and goes looking for his uncle."
434,434,               
435,435, HOUSE - NIGHT
436,436,               William moves down to the room where his uncle would be 
437,437,               sleeping. He opens the door. The bed has been slept in -- 
438,438,               but his uncle is not there. He moves downstairs to
439,439,               THE KITCHEN
440,440,               But his uncle is not there either. Then William hears a 
441,441,"               strange, haunting sound-distant, carried by the wind. He "
442,442,               moves to the window and sees only moonlight. He opens the 
443,443,               window and hears it more clearly: bagpipes. William lights a 
444,444,"               candle and throws open the door. Wind rushes in, blowing out "
445,445,"               his candle. But he hears the pipes, louder in the wind."
446,446,               
447,447, WALLACE HOUSE - NIGHT
448,448,               William is barefoot and in only his nightshirt; but the sound 
449,449,               of the pipes is growing louder. He moves through the 
450,450,"               moonlight, drawn toward -- the graveyard! He stops as he "
451,451,"               realizes this, then forces himself on."
452,452,               
453,453, GRAVEYARD - NIGHT
454,454,               William moves to the top of the hill where his ancestors are 
455,455,"               buried, and discovers a haunting scene: two dozen men, the "
456,456,"               farmer/warriors of his neighborhood, are gathered in kilts -- "
457,457,"               and among them, a core of bagpipers. The pipes wail an ancient "
458,458,"               Scottish dirge, a tune of grief and redemption, a melody "
459,459,"               known to us as \""Amazing Grace.\"" Uncle Argyle has heard them "
460,460,               and walked out too; he stands at the fringes of the 
461,461,"               torchlight, still holding the massive broadsword. He glances "
462,462,"               down, noticing William as the boy moves up beside him. William "
463,463,               whispers...
464,464,                                     WILLIAM
465,465,                         What are they doing?
466,466,                                     ARGYLE
467,467,                         Saying goodbye in their own way -- 
468,468,"                         in outlawed tartans, with outlawed "
469,469,"                         pipes, playing outlawed tunes."
470,470,"               The farmers file by the graveside, crossing themselves, each "
471,471,"               whispering his own private prayer. Argyle whispers, half to "
472,472,"               William, and half to himself..."
473,473,                                     ARGYLE
474,474,"                         Your Daddy and I, we saw our own "
475,475,"                         father buried like this, dead from "
476,476,                         fighting the English.
477,477,"               William takes the sword from his uncle, and tries to lift "
478,478,               it.
479,479,"               Slowly, Argyle takes the sword back."
480,480,                                     ARGYLE
481,481,                         First learn to use this.
482,482,               He taps William on the temple with the tip of his finger.
483,483,                                     ARGYLE
484,484,                         Then I will teach you to use this.
485,485,"               With an expert's easy fluidity, he lifts the huge sword. It "
486,486,"               glistens in the torchlight. The music plays, the notes hanging "
487,487,"               in the air, swirling in the Scottish breeze as if rising "
488,488,               towards the stars...
489,489,               
490,490, WALLACE FARM - DAY
491,491,               William and his uncle ride off in a farm wagon. William has 
492,492,"               a bundle of clothes in his lap, and glances at his uncle as "
493,493,               if afraid of his disapproval if he looks back. But he does 
494,494,"               glance back just once, to see the deserted farmhouse."
495,495,                                                               DISSOLVE TO:
496,496,               
497,497, WESTMINSTER ABBEY - ROYAL WEDDING - DAY
498,498,"               Amid the scarlet and ermine robes of officiating lords, with "
499,499,"               gemstones sparkling everywhere, we hear..."
500,500,                                     
501,501,"                         Twelve years later, Longshanks "
502,502,                         supervised the wedding of his eldest 
503,503,"                         son, also named Edward, who would "
504,504,                         succeed him to the throne.
505,505,"               LONGSHANKS, King of England, stands in the jeweled light of "
506,506,               the ancient Abbey. Known as Longshanks because of the spindly 
507,507,"               legs that make him almost seven feet tall, he has a hawk's "
508,508,"               nose and a snake's eyes, punctuating a face of distinct "
509,509,               cruelty. Historians of his day considered him and the line 
510,510,               of Plantagenets from which he came to be devil worshipers.
511,511,                                     
512,512,"                         As bride for his son, Longshanks had "
513,513,"                         chosen a relative of his rival, the "
514,514,                         king of France.
515,515,"               GENEVIEVE, a nineteen-year-old virgin of stupendous beauty "
516,516,"               moves down the aisle, the light in her face outshining her "
517,517,               blindingly white wedding gown. As she reaches the altar her 
518,518,"               hands tremble, but she maintains her poise and control."
519,519,"               She looks toward EDWARD, Prince of Wales. Pampered young men "
520,520,               surround him as his retinue. He takes her hand coldly and 
521,521,               goes through the ceremony under his father's stare.
522,522,                                     
523,523,                         It was widely whispered that for the 
524,524,"                         Princess to conceive, Longshanks "
525,525,                         would have to do the honors himself. 
526,526,                         That may have been what he had in 
527,527,                         mind all along.
528,528,"               The ceremony concluding, attendants lift back the bride's "
529,529,"               veil. Her wedding day, the ultimate moment -- and Prince "
530,530,"               Edward ignores her, to turn back to his friends. But prompted "
531,531,"               by one of the sour lords, he leans over and pecks his new "
532,532,"               Princess on the cheek. For an instant, we see in her eyes "
533,533,               that her heart is dying. But she keeps her poise.
534,534,                                     
535,535,                         Having seen to his obligations to 
536,536,"                         provide for a successor, Longshanks "
537,537,                         set about his fondest business -- to 
538,538,"                         crush Scotland, and turn his power "
539,539,                         against France...
540,540,               CLOSE - A MAP OF THE BRITISH ISLES
541,541,               Longshanks' narrow finger jabs Scotland.
542,542,                                     LONGSHANKS
543,543,                         Scotland! Scot-land!
544,544,               We are in the --
545,545,               
546,546, ROYAL ENGLISH PALACE - DAY
547,547,"               Longshanks is being listened to by his advisors, all in the "
548,548,"               outrageous splendor of royal military dress, and all deathly "
549,549,               afraid of him.
550,550,                                     LONGSHANKS
551,551,                         The French will grovel to anyone 
552,552,                         with strength! But how will they 
553,553,                         credit our strength when we cannot 
554,554,                         rule the whole of our own island?!
555,555,"               He punches the map, then sees the Princess enter softly."
556,556,                                     LONGSHANKS
557,557,                         Where is my son?
558,558,                                     PRINCESS
559,559,"                         Your pardon, M'lord, he asked me to "
560,560,                         come in his stead.
561,561,               Longshanks' eyes expand in fury; it is frightening to see.
562,562,                                     LONGSHANKS
563,563,                         I sent for him -- and the little 
564,564,                         coward send you?!
565,565,                                     PRINCESS
566,566,"                         Shall I leave, M'lord?"
567,567,                                     LONGSHANKS
568,568,"                         If he wants his queen to rule, then "
569,569,                         you stay and learn how! I will deal 
570,570,                         with him.
571,571,"               He spins back toward his generals. Ignored, the princess "
572,572,               settles silently onto the cushions of the window seat.
573,573,                                     LONGSHANKS
574,574,                         Nobles are the key to the Scottish 
575,575,                         door. Grant their nobles land here 
576,576,                         in England. Give our own nobles 
577,577,                         estates in the north. Make them too 
578,578,                         greedy to oppose us.
579,579,               One OLD ADVISOR speaks up hesitantly.
580,580,                                     OLD ADVISOR
581,581,                         Sire... Our nobles will be reluctant 
582,582,"                         to relocate. New lands mean new taxes, "
583,583,                         and they are taxed already for our 
584,584,                         war in France.
585,585,"               Longshanks glares at him, but takes the point. The wheels "
586,586,"               grind in his brain; his dark eyes falling on the Princess, "
587,587,               he is inspired.
588,588,                                     LONGSHANKS
589,589,                         Perhaps it's time to reinstitute an 
590,590,"                         old custom. Grant them prima noctes, "
591,591,"                         \""First night.\"" When any common girl "
592,592,"                         inhabiting their lands is married, "
593,593,                         our lords shall have sexual rights 
594,594,                         to her on the night of her wedding. 
595,595,                         That should fetch just the kind of 
596,596,                         lords we want in Scotland.
597,597,               
598,598, PRINCE EDWARD'S ROYAL APARTMENTS - DAY
599,599,"               The prince and a muscular young friend, PHILLIP, are stripped "
600,600,               to the waist and fencing. They pay no attention to the
601,601,"               KNOCK, or to the Princess as she enters. She watches them -- "
602,602,               they are dancing more than fencing. Edward loses his sword; 
603,603,"               it clatters to the polished floor. He looks up at his wife, "
604,604,               as if angry at her for having seen his clumsiness.
605,605,                                     EDWARD
606,606,                         What is it?!
607,607,                                     PRINCESS
608,608,                         You directed me to report to you the 
609,609,                         moment the king's conference was 
610,610,                         ended.
611,611,                                     EDWARD
612,612,                         So I did! And what was so important 
613,613,                         about it?
614,614,                                     PRINCESS
615,615,                         Scotland. He intends --
616,616,"               But Edward and his friend are fencing again, the clanging of "
617,617,               their blunted swords so loud that she can't hear herself.
618,618,                                     PRINCESS
619,619,                         He intends to grant --
620,620,"               Edward loses his weapon again, and whirls on her."
621,621,                                     EDWARD
622,622,"                         Shut up, would you! How can I "
623,623,                         concentrate?!
624,624,                                     PRINCESS
625,625,                         ...His majesty was quite keen that 
626,626,                         you should understand --
627,627,                                     EDWARD
628,628,                         All so very boring! He wants me to 
629,629,"                         learn to fight too, so let me do it!"
630,630,"               For an instant, anger flares into her eyes. She glances at "
631,631,"               Edward, and at the young man with him, then lowers her eyes "
632,632,               and starts to back out. But Edward has noticed.
633,633,                                     EDWARD
634,634,                         Stop there.
635,635,"               She stops, but does not raise her eyes."
636,636,                                     EDWARD
637,637,                         Do you disapprove of Phillip?
638,638,               He lifts his hand and draws his friend Phillip to his side.
639,639,               Still the Princess does not lift her eyes.
640,640,                                     PRINCESS
641,641,                              (barely audible)
642,642,"                         No, M'lord."
643,643,                                     EDWARD
644,644,                         Look at me. I said LOOK AT ME!
645,645,               She lifts her eyes. But she could not brace herself enough 
646,646,"               for what she sees: Edward nuzzling Phillip, the prince's "
647,647,"               bare chest to his muscular friend's bare back, both men "
648,648,               glistening with sweat and sexual excitement.
649,649,               The Princess's eyes quiver... but she does not look away.
650,650,                                     EDWARD
651,651,"                         Now, my flower, do you understand?"
652,652,                                     PRINCESS
653,653,                         Yes. I had thought that... I was 
654,654,                         loathsome to you. Perhaps I am. If I 
655,655,"                         may be excused, M'lord."
656,656,                                     EDWARD
657,657,                         You may.
658,658,"               She starts to leave, as quietly as she came. But her husband "
659,659,               calls after her.
660,660,                                     EDWARD
661,661,"                         Don't worry, m'Lady, it is my royal "
662,662,                         responsibility to breed. And I assure 
663,663,"                         you, when the time comes, I shall... "
664,664,                         manage.
665,665,"               She closes the door softly, on her husband and his lover."
666,666,                                     
667,667,                         Now in Edinburgh were gathered the 
668,668,                         council of Scottish nobles...
669,669,               ESTABLISHING COUNCIL - DAY
670,670,"               The picturesque heart of Scotland, with its CASTLE on a fairy "
671,671,               tale plateau above the Firth of Forth.
672,672,               
673,673, EDINBURGH CASTLE - DAY
674,674,               The nobles are gathered around a huge table. They rise at 
675,675,"               the entrance of young ROBERT THE BRUCE, a handsome young "
676,676,"               man, full of intelligence and power."
677,677,                                     
678,678,"                         Among these was Robert, the 17th "
679,679,"                         Earl of Bruce, a leading contender "
680,680,                         for the crown of Scotland.
681,681,"               Robert strides to his seat in the center of the table, and "
682,682,"               the others settle in respectfully. MORNAY, another young "
683,683,"               warrior, gives him a bow, as does CRAIG, a grizzled noble."
684,684,                                     CRAIG
685,685,"                         Young Robert, we are honored --"
686,686,                                     ROBERT
687,687,                         My father hears that Longshanks has 
688,688,                         granted prima noctes.
689,689,                                     CRAIG
690,690,                         Clearly meant to draw more of his 
691,691,                         supporters here.
692,692,                                     MORNAY
693,693,                         The Balliol clan has endorsed the 
694,694,"                         right, licking Longshanks' boots so "
